,Name,Hometown,Fare,Pclass,GDP_Per_Capita
0,"Barkworth, Mr. Algernon Henry Wilson","Hessle, East Yorkshire, England, UK",30.0,1,4611
1,"Borebank, Mr. John James","London, England, UK",26.55,1,4611
2,"Case, Mr. Howard Brown","Ascot, Berkshire, England, UK",26.0,1,4611
3,"Cavendish, Mr. Tyrell William","London, England, UK",78.85,1,4611
4,"Colley, Mr. Edward Pomeroy","Dublin, Ireland, UK[note 1]",25.5875,1,4611
5,"Frauenthal, Dr. Henry William","London, England, UK",133.65,1,4611
6,"Frauenthal, Mr. Isaac Gerald","London, England, UK",27.7208,1,4611
7,"Hawksford, Mr. Walter James","Kingston, Surrey, England, UK",30.0,1,4611
8,"Head, Mr. Christopher","Chelsea, London, England, UK",42.5,1,4611
9,"Hipkins, Mr. William Edward","Birmingham, West Midlands, England, UK",50.0,1,4611
10,"Ismay, Mr. Joseph Bruce","Liverpool, Merseyside, England, UK",0.0,1,4611
11,"Julian, Mr. Henry Forbes","Torquay, Devon, England, UK",26.0,1,4611
12,"Loring, Mr. Joseph Holland","London, England, UK",45.5,1,4611
13,"Nicholson, Mr. Arthur Ernest","Shanklin, Isle of Wight, England, UK",26.0,1,4611
14,"Pears, Mr. Thomas Clinton","Isleworth, London, England, UK",66.6,1,4611
15,"Saalfeld, Mr. Adolphe","Manchester, England, UK",30.5,1,4611
16,"Smart, Mr. John Montgomery","Kildale, North Yorkshire, England, UK",26.55,1,4611
17,"Smith, Mr. Richard William","Streatham, London, England, UK",26.0,1,4611
18,"Stead, Mr. William Thomas","London, England, UK",26.55,1,4611
19,"Taylor, Mr. Elmer Zebley","London, England, UK",52.0,1,4611
20,"Woolner, Mr. Hugh","London, England, UK",35.5,1,4611
28,"Blackwell, Mr. Stephen Weart","Trenton, New Jersey, US",35.5,1,4964
29,"Blank, Mr. Henry","Glen Ridge, New Jersey, US",31.0,1,4964
30,"Brady, Mr. John Bertram","Pomeroy, Washington, US",30.5,1,4964
31,"Brandeis, Mr. Emil","Omaha, Nebraska, US",50.4958,1,4964
32,"Brewe, Dr. Arthur Jackson","Philadelphia, Pennsylvania, US",39.6,1,4964
33,"Cardeza, Mr. Thomas Drake Martinez","Germantown, Pennsylvania, US",512.3292,1,4964
34,"Carter, Mr. William Ernest","Bryn Mawr, Pennsylvania, US",120.0,1,4964
35,"Chaffee, Mr. Herbert Fuller","Amenia, North Dakota, US",61.175,1,4964
